country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
#country+name,,,,,
UMC,10890.0974812565,100.673202514648,6.0413574000122,2.1,3078912188.0
URY,25215.8238152781,104.532465643859,9.01887608,0.2,3384688.0
USA,90026.5163005744,96.9717330932617,16.69414902,1.1,341784857.0
UZB,3968.2720079072,120.864046720012,6.74312878,2.3,37053428.0
VCT,12561.769166789,111.436840631127,4.43696308,,99924.0
VEN,3494.8138870244,113.693878173828,3.77611423,9.7,28516896.0
VGB,,72.7799911499023,,,39732.0
VIR,44320.909185774,124.084976196289,,,103792.0
VNM,5065.99091899299,106.332886485835,4.56109476,1.6,101598527.0
VUT,4038.73520713411,112.491972007523,4.1186676,19.5,335169.0
WLD,14405.8484595528,102.159400939941,10.0604485010516,10.4,8215424893.0
WSM,5872.78333308796,101.043324329961,6.78103304,4.5,219306.0
XKX,7899.41841135202,,,10.0,1576876.0
YEM,633.887202451545,76.9753799438477,9.69559193,33.3,41773878.0
ZAF,6597.71450918774,101.772235793474,8.90966797,17.4,64747319.0
ZMB,1317.87771619597,115.550919335782,5.97841072,71.7,21913874.0
ZWE,3021.43019873632,93.0772110334414,2.92601609,49.2,16950795.0
