country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
SYR,1051.67149587463,81.4114685058594,2.70998812,16.5,24672760.0
TCA,37506.7798431288,125.059584610146,,,46535.0
TCD,961.55975562506,88.464521953345,4.99707747,39.5,20299123.0
TEA,10513.9529323033,100.048690795898,5.60857793634195,,2114653077.0
TEC,13337.4386956337,97.0421981811523,6.21781794446421,,459734030.0
TGO,1119.38160509429,114.272773524266,6.10829544,34.4,9515236.0
THA,7346.62022142185,100.728168483387,4.53787661,0.0,71668011.0
TJK,1341.20229027672,95.7571411611065,7.43789911,6.1,10590927.0
TKM,6856.65802730208,95.6921775462619,5.49789095,35.1,7494498.0
TLA,10474.2809944408,104.723831176758,7.94598994575739,,647003746.0
TLS,1331.9705130185,119.652693100113,9.59779453,43.9,1400638.0
TMN,2973.77496155262,,5.14803513272091,,736401764.0
TON,5651.59373063157,108.789986091794,7.36037779,0.4,104175.0
TSA,2690.07883749003,119.026802062988,3.26234217340341,,1677384532.0
TSS,1532.92763550207,97.1016311645508,4.91844873230529,,1291044964.0
TTO,18733.4110406494,99.1887588500977,7.52568626,3.2,1368333.0
TUN,4181.13789301228,104.424217224121,7.98537874,0.7,12277109.0
TUR,15892.7157287241,102.487701416016,4.27524424,0.5,85518661.0
TUV,6344.7750188689,101.138952164009,27.08968544,9.0,9646.0
TZA,1186.71691894531,92.6902654262381,3.05201221,51.3,68560157.0
UGA,1077.91278452817,106.169578552246,4.23600149,59.8,50015092.0
UKR,5389.47314453125,93.3063190361356,8.2027483,0.0,37860221.0
UMC,10996.101696107,100.673202514648,6.0803456327193,2.1,2817912698.0
URY,23906.5133029408,104.532465643859,9.01887608,0.2,3386588.0
USA,84534.0407841548,96.9717330932617,16.69414902,1.2,340110988.0
UZB,3161.70010632875,120.864046720012,6.74312878,2.7,36361859.0
VCT,11501.2265187188,111.270698547363,4.43696308,,100616.0
VEN,4217.59102643391,113.693878173828,3.77611423,9.7,28405543.0
VGB,,72.7799911499023,,,39471.0
VIR,44320.909185774,124.084976196289,,,104377.0
VNM,4717.29028732449,106.332886485835,4.56109476,1.6,100987686.0
VUT,3410.77023167097,112.491972007523,4.1186676,19.5,327777.0
WLD,13631.2043097215,102.159400939941,10.0162846684385,10.3,8141808945.0
WSM,5392.87761915762,101.043324329961,6.78103304,4.5,218019.0
XKX,7023.06598512878,,,10.0,1594353.0
YEM,633.887202451545,76.9753799438477,9.69559193,33.3,40583164.0
ZAF,6267.186814093,101.772235793474,8.90966797,31.2,64007187.0
ZMB,1187.10943350064,115.550919335782,5.97841072,71.7,21314956.0
ZWE,2497.20332208763,93.0772110334414,2.92601609,49.2,16634373.0
